Name;Sex;PeoplesCount;Origin
Adok;Male;2000;Polish
Adolf;Male;23000;German
Adolfo;Male;122000;German
Adolph;Male;7000;German
Adolpha;Female;114;German
Adolpha;Female;114;German
Adolphus;Male;14000;German
Adolphus, Adolph, Dolph;Male;0;Swedish
Adom;Male;3000;African
Adom;Male;3000;Egyptian
Adon;Male;5000;Hebrew
Adoncia;Female;67;Spanish
Adonia;Female;1000;Spanish
Adonia;Female;1000;Greek
Adonis;Male;22000;African
Adonis;Male;22000;Greek
Adora;Female;6000;Chamoru
Adoracion;Female;2000;Spanish
Adorjan;Male;751;Hungarian
Adorlee;Female;53;French
Adorlee;Female;53;French
Adowa;Female;124;African
Adra;Female;10000;Arabic
Adrastus;Male;34;Greek
Adreanna;Female;744;French
Adri;Male;58000;Hindi
Adriaan;Male;8000;Dutch
Adrial;Male;309;Greek
Adrian;Male;552000;African
Adrian;Female;552000;German
Adrian;Female;552000;Swedish
Adrian;Male;552000;Romanian
Adrian;Male;552000;English
Adriana;Female;419000;Italian
Adriana;Female;419000;Spanish
Adriana;Female;419000;Romanian
Adriane;Female;16000;German
Adriane;Female;16000;French
Adrianna;Female;24000;French
Adrianne;Female;13000;French
Adriano;Male;106000;Spanish
Adriano;Male;106000;Spanish
Adriano;Male;106000;Italian
Adrie;Female;4000;Dutch
Adriel;Male;13000;Hebrew
Adriel;Male;13000;Hebrew
Adrien;Male;39000;French
Adriene;Female;3000;French
Adrienne;Female;55000;French
Adrienne;Female;55000;French
Adrik;Male;490;Russian
Adrion;Male;539;English
Adriyel;Male;33;Hebrew
Adron;Male;526;English
Adsaluta;Female;0;Celtic
Adsila;Female;138;Native American
Adsila;Female;138;Native
Advent;Male;0;French
Adwin;Male;1000;African
Adwoa;Female;3000;African
Ady;Male;38000;English
Adya;Female;3000;Indian
Aeacus;Male;50;Greek
Aeaea;Female;0;Greek
Aeary;Male;7;Irish
Aeccestane;Male;4;English
Aedon;Female;137;Greek
Aedre;Female;23;Anglo
Aedre;Female;23;Anglo-Saxon
Aeetes;Male;8;Greek
Aefentid;Female;2;Anglo
Aefentid;Female;2;Anglo-Saxon
Aefre;Female;13;Anglo
