Name;Sex;PeoplesCount
Аксель;Female;1000
Аксена;Female;27
Аксения;Female;708
Аксенияе;Female;2
Аксентия;Female;7
Аксенья;Female;93
Аксеня;Female;18
Аксима;Female;81
Аксина;Female;17
Аксиния;Female;1000
Аксинья;Female;6000
Аксиня;Female;14
Аксипия;Female;1
Аксират;Female;12
Аксона;Female;21
Аксырга;Female;64
Аксэнь;Female;0
Аксюта;Female;991
Акта;Female;92
Актавина;Female;19
Актавия;Female;34
Актебрина;Female;16
Актерина;Female;5
Активиза;Female;0
Активина;Female;6
Актия;Female;6
Актя;Female;9
Акуза;Female;1
Акулина;Female;3000
Акумна;Female;0
Акупина;Female;1
Акылай;Female;2000
Алавдина;Female;2
Алада;Female;19
Алаида;Female;15
Алаиза;Female;9
Алаина;Female;15
Алайда;Female;6
Алаксандра;Female;21
Аламбина;Female;0
Алампия;Female;1
Алана;Female;6000
Аланна;Female;36
Алантина;Female;1
Аланфина;Female;0
Алатина;Female;31
Алафия;Female;1
Алачка;Female;71
Албала;Female;3
Албания;Female;84000
Алббина;Female;7
Албжета;Female;0
Албида;Female;1
Албиизия;Female;0
Албина;Female;1000
Албфия;Female;0
Албэна;Female;9
Алван;Female;76
Алвара;Female;7
Алварда;Female;1
Алвента;Female;2
Алвида;Female;4
Алвина;Female;216
Алвира;Female;10
Алгалия;Female;0
Алгедрина;Female;0
Алгиллина;Female;2
Алгина;Female;58
Алгиня;Female;0
Алгова;Female;4
Алгурь;Female;0
Алдика;Female;0
Алдина;Female;55
Алдокия;Female;2
Алдона;Female;140
Алдра;Female;8
Алдя;Female;32
Алеага;Female;1
Алеана;Female;117
Алева;Female;141
Алевгина;Female;1
Алеврина;Female;0
Алевтана;Female;5
Алевтина;Female;71000
Алевтиния;Female;1
Алегдина;Female;1
Алегрия;Female;29
Алегтина;Female;1
Аледзь;Female;0
Аледзя;Female;0
Аледия;Female;2
Алежбита;Female;1
Алежна;Female;33
Алеза;Female;1
Алезия;Female;8
Алеиза;Female;0
Алеина;Female;4
Алейза;Female;1
Алейзия;Female;0
Алекамида;Female;0
Алекандра;Female;364
Алекса;Female;18000
Алексаедра;Female;29
Алексамара;Female;1
Алексана;Female;39
Александара;Female;56
Александра;Female;994000
Александрина;Female;5000
Александрия;Female;290000
Алексанедра;Female;5
Алексанлра;Female;71
Алексанра;Female;754
Алексе;Female;890
Алексина;Female;2000
Алексию;Female;2
Алексия;Female;2000
Алексиянна;Female;0
Алексса;Female;14
Алекстина;Female;0
Алектина;Female;10
Алектрина;Female;0
Алела;Female;24
Алелета;Female;1
Алелина;Female;13
Алелия;Female;36
Алема;Female;274
Алемила;Female;0
Алемпиада;Female;8
Алемпина;Female;0
Алемпия;Female;0
Алемша;Female;17
Алена;Female;1000000
Алендия;Female;3
Аленета;Female;0
Аленина;Female;3000
Аленка;Female;135000
Аленна;Female;102
Аленпината;Female;0
Алентевита;Female;3
Алентина;Female;93
Аленушка;Female;21000
Аленька;Female;408
Алеона;Female;75
Алеонора;Female;15
Алеортина;Female;0
Алерина;Female;23
Алерия;Female;53
Алертина;Female;0
Алерула;Female;0
Алеса;Female;206
Алесандра;Female;824
Алесия;Female;555
Алескандра;Female;195
Алестина;Female;10
Алесья;Female;172
Алеся;Female;107000
Алетина;Female;51
Алетта;Female;63
Алеу;Female;12
Алефина;Female;25
Алефира;Female;0
Алефтина;Female;6000
Алехандра;Female;187
Алехтина;Female;2
Алеша;Female;42000
Алея;Female;131
Алёна;Female;1000000
Алжана;Female;241
Алжанат;Female;208
Алжберта;Female;0
Алжбета;Female;19
Алжбетта;Female;4
Алжбина;Female;1
Алжебета;Female;2
Алжета;Female;0
Алжибета;Female;2
Алзабета;Female;0
Алзбета;Female;1
Алзема;Female;0
Алиана;Female;3000
Алиарда;Female;0
Алиата;Female;12
Алибала;Female;64
Алибина;Female;56
Аливантина;Female;0
Аливина;Female;10
Аливинтина;Female;0
Аливита;Female;2
Аливия;Female;395
Аливтина;Female;118
Алиганна;Female;0
Алида;Female;933
Алидия;Female;4
Алидна;Female;0
Алидомина;Female;1
Алидула;Female;2
Алидэ;Female;7
Алие;Female;4000
Алижабета;Female;1
Ализа;Female;773
Ализада;Female;119
Ализаре;Female;0
Ализе;Female;90
Алиина;Female;53
Алика;Female;6000
Аликанида;Female;1
Аликара;Female;1
Аликтина;Female;3
Алима;Female;7000
Алиманада;Female;0
Алимара;Female;0
Алимбина;Female;0
Алимджа;Female;1
Алиме;Female;2000
Алимипиада;Female;1
Алимирза;Female;98
Алимирта;Female;0
Алимишада;Female;0
Алимка;Female;91
Алимма;Female;5
Алимпа;Female;9
Алимпаша;Female;104
Алимпиада;Female;123
Алимпина;Female;4
Алимша;Female;10
Алина;Female;925000
Алингалина;Female;0
Алинда;Female;77
Алинджа;Female;4
Алинетта;Female;5
Алинина;Female;447
Алиния;Female;28
Алинна;Female;132
Алинтина;Female;4
Алинэ;Female;85
Алиона;Female;306
Алионера;Female;0
Алионета;Female;1
Алионора;Female;3
Алипа;Female;277
Алипат;Female;67
Алипетра;Female;0
Алипина;Female;60
Алипия;Female;52
Алиптина;Female;0
Алира;Female;509
Алиреза;Female;29
Алирза;Female;142
Алириза;Female;16
Алиртина;Female;0
Алиса;Female;260000
Алисада;Female;2
Алисалаль;Female;1
Алисат;Female;18
Алисафа;Female;50
Алисия;Female;3000
Алисолта;Female;0
Алисса;Female;486
Алиссанда;Female;0
Алиста;Female;30
Алистафина;Female;0
Алистина;Female;1
Алистрина;Female;10
Алита;Female;777
Алитина;Female;7
Алития;Female;1
Алитта;Female;3
Алитулу;Female;1
Алиула;Female;0
Алиулла;Female;15
Алифа;Female;241
Алифага;Female;24
Алифат;Female;14
Алифе;Female;9
Алифина;Female;19
Алифия;Female;10
Алифреда;Female;0
Алифтень;Female;0
Алифтина;Female;464
Алифцина;Female;1
Алифя;Female;5
Алица;Female;20
Алице;Female;4
Алиция;Female;359
Алиця;Female;5
Аличика;Female;1
Алиша;Female;4000
Алише;Female;23
Алию;Female;25
Алиюла;Female;1
Алия;Female;116000
Алияга;Female;8
Алияна;Female;263
Алият;Female;51
Алияханум;Female;1
Алкефтина;Female;0
Алкиния;Female;1
Алкиноя;Female;3
Алксандра;Female;216
Алла;Female;499000
Аллабагыш;Female;0
Аллабеба;Female;0
Аллаберди;Female;138
Аллаида;Female;14
Аллаина;Female;2
Аллакярь;Female;0
Аллау;Female;5
Аллевтина;Female;49
Аллегроина;Female;0
Алледия;Female;0
Аллеина;Female;0
Аллектина;Female;2
Аллемира;Female;0
Алленгина;Female;0
Аллентина;Female;1
Аллерса;Female;0
Аллефтина;Female;17
Аллея;Female;2000
Аллида;Female;1
Аллие;Female;4
Аллина;Female;236
Аллиса;Female;34
Аллиула;Female;0
Аллифтина;Female;2
Аллия;Female;77
Аллла;Female;65
Аллоиза;Female;2
Аллорика;Female;0
Аллэитта;Female;0
Алля;Female;182
Аллямша;Female;2
Алма;Female;684000
Алмабика;Female;16
Алмагуль;Female;11000
Алмаз;Female;65000
Алмаза;Female;397
Алмазия;Female;249
Алмара;Female;239
Алмеда;Female;25
Алмера;Female;19
Алмила;Female;9
Алмира;Female;332
Алмирза;Female;7
Ална;Female;148
Алнена;Female;4
Алня;Female;4
Алодия;Female;1
Алоида;Female;2
Алоиза;Female;17
Алоизия;Female;6
Алойза;Female;2
Алойзия;Female;0
Алолинария;Female;1
Алона;Female;242
Алондра;Female;19
Алонзия;Female;1
Алония;Female;3
Алорина;Female;3
Алория;Female;12
Алочка;Female;1000
Алпиина;Female;0
Алпина;Female;18
Алпия;Female;10
Алпият;Female;83
Алсаада;Female;0
Алсанаа;Female;0
Алсафа;Female;3
Алсу;Female;65000
Алта;Female;13000
Алтана;Female;2000
Алтея;Female;1000
Алтина;Female;11
Алтына;Female;554
Алтынай;Female;29000
Алтынбийке;Female;2
Алтынгуль;Female;2000
Алтынкуль;Female;126
Алтыншаш;Female;1000
Алуа;Female;7000
Алуда;Female;19
Алуиза;Female;5
Алуль;Female;1
Алуна;Female;52
Алуника;Female;15
Алура;Female;11
Алуре;Female;1
Алуша;Female;37
Алфа;Female;301
Алфаита;Female;0
Алферита;Female;0
Алфея;Female;1000
Алфида;Female;31
Алфие;Female;1
Алфиза;Female;13
Алфина;Female;56
Алфинора;Female;0
Алфинтина;Female;2
Алфира;Female;91
Алфиса;Female;13
Алфия;Female;376
Алфият;Female;5
Алфрефа;Female;0
Алфрида;Female;4
Алхасу;Female;0
Алчвеза;Female;0
Алшалада;Female;2
Алысафа;Female;0
Алыца;Female;0
Алыце;Female;0
Альазайза;Female;0
Альбена;Female;19
Альбера;Female;22
Альберина;Female;5
Альберта;Female;869000
Альбертина;Female;363
Альбета;Female;7
Альби;Female;2000
Альбида;Female;11
Альбина;Female;247000
Альбира;Female;111
Альбирина;Female;7
Альбирита;Female;0
Альбита;Female;1
Альбия;Female;23
Альбона;Female;3
Альва;Female;146
Альвара;Female;11
Альвелина;Female;0
Альвелтина;Female;0
Альвентина;Female;12
Альвера;Female;78
Альверда;Female;0
Альверуте;Female;0
Альвеста;Female;13
Альвета;Female;8
Альветина;Female;3
Альветиня;Female;0
Альветта;Female;4
Альви;Female;799
Альвиана;Female;20
Альвида;Female;77
Альвиль;Female;0
Альвильда;Female;8
Альвина;Female;6000
Альвинтина;Female;2
Альвиня;Female;0
Альвира;Female;400
Альвиса;Female;2
Альвисия;Female;4
Альвита;Female;50
Альвитина;Female;2
Альвия;Female;21
Альвна;Female;0
Альга;Female;60
Альге;Female;2
Альгелина;Female;2
Альгенина;Female;1
Альгилина;Female;1
Альгима;Female;7
Альгиманта;Female;1
Альгиманте;Female;0
Альгина;Female;568
Альда;Female;196
Альдана;Female;21
Альдвина;Female;0
Альдиана;Female;19
Альдимира;Female;0
Альдина;Female;168
Альдия;Female;1
Альдоза;Female;2
Альдона;Female;128
Альдуся;Female;0
Альеза;Female;0
Альена;Female;53
Альенна;Female;2
Альетина;Female;1
Альжанат;Female;2
Альжбета;Female;66
Альжбетта;Female;8
Альзана;Female;38
Альзбета;Female;0
Альзимина;Female;1
Альзира;Female;197
Альивина;Female;0
Альие;Female;1
Альина;Female;43
Алькина;Female;748
Альма;Female;4000
Альмара;Female;94
Альмида;Female;53
Альмидия;Female;1
Альмика;Female;1
Альмина;Female;527
Альминиса;Female;1
Альминура;Female;7
Альмира;Female;24000
Альмуся;Female;3
Альмэ;Female;1
Альмя;Female;1
Альна;Female;112
