Code;Vetis-GUID;Vetis-UUID;name-ru;name-en
DR;13f13e66-adf4-431a-9cff-22cfd839047b;38be3857-eb77-4e45-aac3-bde2864b4aca;Барабан;Drum
DS;3614ce14-9970-453c-81df-9645c4c5fe2c;169160be-aaaa-40f6-b762-eba8772d693b;Лоток с одним настилом без покрытия пластмассовый;Tray, one layer no cover, plastic
DT;d5122def-d46e-4989-b845-9ed0754c2a07;bee467d2-2c1a-43cd-9541-5d350b029640;Лоток с одним настилом без покрытия деревянный;Tray, one layer no cover, wooden
DU;9c27dc4c-875d-4de5-af1f-d6d066e0d88f;1490af9f-ad7e-4514-9ba1-e361750b54ce;Лоток с одним настилом без покрытия полистироловый;Tray, one layer no cover, polystyrene
DV;b6b93b6c-286a-4c49-b646-bef408d4cf8b;2c2aa9c8-7ba8-4293-9183-c8120860074b;Лоток с одним настилом без покрытия картонный;Tray, one layer no cover, cardboard
DW;2834ba2d-8030-4b5d-8812-186ff267f89c;a6a7a4fd-95d6-4ac9-9041-6eab19564cdb;Лоток с двумя настилами без покрытия пластмассовый;Tray, two layers no cover, plastic tray
DX;a5c9db95-0858-401c-a0f8-f1e17f44c156;4eb0ddf2-fb23-4de9-bfb2-2ea35fd3ae79;Лоток с двумя настилами без покрытия деревянный;Tray, two layers no cover, wooden
DY;816aecc8-f89d-4bce-add3-bcea3782ebfa;d60f6822-014a-4cdb-a1d3-3071095b7e89;Лоток с двумя настилами без покрытия картонный;Tray, two layers no cover, cardboard
EC;501e2c46-d364-44f5-9f7f-c9697115e4fd;f9f004e3-ddcd-40ab-aa3c-8b92ccda99b4;Мешок, пластмассовый;Bag, plastic
ED;93266aa3-4642-4162-8155-01851a5c0811;6dc741c9-44a5-46f3-ba76-66cbac17e5fb;Ящик с поддоном;Case, with pallet base
EE;a106dd9b-f9ee-45d6-a4f7-d8c18a1c53ea;42513601-0221-403b-9aef-e23c8a66581a;Ящик с поддоном деревянный;Case, with pallet base, wooden
EF;dbb7a1d0-aa1f-4141-90e2-1db559dd20f7;395a6d37-d2ca-4ae2-b4af-b76ed722550b;Ящик с поддоном картонный;Case, with pallet base, cardboard
EG;215592ec-b08d-401b-800d-d36bda9ba0b5;7d36302b-8c40-4eb2-ac18-4bb257a7d6aa;Ящик с поддоном пластмассовый;Case, with pallet base, plastic
EH;4ad07608-39ee-4991-baac-9cd2bdb5b2b0;4565f1c2-3240-4508-b1da-995a7e42e0c0;Ящик с поддоном металлический;Case, with pallet base, metal
EI;a451a297-b510-48fc-8a31-a41e311a0d82;93075c71-f992-4819-bc30-a5b2b3974ab5;Ящик, изотермический;Case, isothermic
EN;3cb38979-51da-44a5-8bdc-8f549bb0aa68;f88ac7e2-3854-44ea-a221-0e0ce4c29e4b;Конверт;Envelope
FC;3ea227b5-df09-40c2-b802-8abd1427c73e;d3991117-ab9f-48f6-abce-09d762757405;Ящик решетчатый для фруктов;Crate, fruit
FD;c1444369-7a47-4e53-8e62-c33c290d73c2;4adbf919-b481-40a3-a6c4-745be2854950;Ящик решетчатый (или обрешетка) рамный;Crate, framed
FE;577431f6-7f08-4f20-af71-7ede3ac2a564;7b704255-7f4e-48b7-af82-0185a75028c8;Мягкий мешок, Гибкая цистерна;Flexitank, Flexibag
FI;8915e7eb-4f39-48aa-8171-7a629c95b69e;5de54132-e9d4-4755-9978-a32c57d83115;Бочонок (емкостью около 41 л);Firkin
FL;2ca9172d-edad-4d6f-a4b8-e4fbaae098cb;57e7a24c-329b-49cd-9967-499adf48c5c1;Фляга;Flask
FO;dbff7b51-2571-451e-bf15-66e2ceed2fcb;9199ff45-abab-4693-bf04-f5e3420ee15d;Сундучок;Footlocker
FP;c7ee807d-56a9-47c5-95d7-72021f303167;ad477afb-e10c-49a4-a379-1b1b96323328;Кассета с пленкой (фильмпак);Filmpack
FR;770d2025-1d5e-463a-82bc-ce7bceb3cc90;ea5f2444-4d08-4713-8eba-ceaaa1f7b014;Рама;Frame
FT;5d753d93-c512-4f55-8fc8-0c0f1461d6a0;fcf8b58e-b821-4ee0-b70d-d8ea59612cc9;Контейнер для пищевых продуктов;Foodtainer
FX;fdbf9ad8-68d8-49ee-814f-b7d76d806545;a446c3fc-b46a-4952-b4ce-11a8f685193f;Мешок, гибкий контейнер;Bag, flexible container
GB;6a10e7ae-b8ff-4249-a23d-1dec8128c4a1;de7013a8-5f50-4f18-b623-57378f44cf6a;Баллон, газовый;Bottle, gas
GI;bc29f22a-6086-4438-acd2-1f40a3b00a66;3a9a7ae7-6ed4-44ce-8554-8aa5fc085e1b;Балка;Girder
GL;4258d946-8f37-43ac-90c2-ab29814daaeb;211e77f3-b6c8-4dea-b8ee-92b13439f895;Контейнер, галлон;Container, gallon
GR;251a4096-c3d6-4b0c-8534-65b31d41f633;1a3e2fd8-997c-4f44-80e1-c9e3d3c58960;Сосуд, стеклянный;Receptacle, glass
GY;87da1e8c-2d92-4de6-8448-6ab233f3847e;feb7a5f8-39ca-4e39-a2a6-94c875dd75d6;Мешок из мешковины;Bag, gunny
GZ;491e8863-7850-4b06-8abc-52c09dd05d0d;f9f1091c-7980-4905-9a4e-4238c6830e8d;Балка в пакете/пачке/связке;Girders, in bundle/bunch/truss
HA;ecd94698-e572-4b54-91a8-54bccd9f5644;e8c11520-5d4f-4012-8436-14c4c2e90eaf;Корзина с ручкой, пластмассовая;Basket, with handle, plastic
HB;497050a3-b994-4ba4-badd-8b7fd98426ac;e96d6d80-345c-4f8a-a02d-fe5da4efe1ad;Корзина с ручкой из древесины;Basket, with handle, wooden
HC;02684a03-6f18-43d0-b79d-3ce05d562435;5382a208-5b38-492d-a582-0df8ab23d615;Корзина с ручкой, картонная;Basket, with handle, cardboard
HG;6583f8bf-8317-4ba4-bf4b-fafcd1d13bc1;c0b2a5f1-b570-4aec-8ed6-796d1faca271;Бочка емкостью 238 л (хогсхед);Hogshead
HN;fedf6240-053c-11e1-99b4-d8d385fbc9e8;9c777ffa-5cc7-439c-9e86-e92a36f52411;Крюк;Hanger
HR;4be2b716-28a4-4d33-8d3e-266ce1e34942;2d1c83f0-3067-4056-857d-4babf6663d91;Корзина с крышкой;Hamper
IA;b5dd6d4d-b99e-4245-8a92-abc119e1889f;53b0f397-182a-4df6-a005-c71974ee0c35;Упаковка демонстрационная деревянная;Package, display, wooden
IB;67129e5f-36d2-4397-8122-0c18747d2344;7a885b94-1aa5-4434-8547-1f999ff65ce1;Упаковка демонстрационная картонная;Package, display, cardboard
IC;dfe5cf21-dbc5-4f51-b7fd-ad45259f9677;362dec1c-1e08-4953-bc95-5921b1e007cd;Упаковка демонстрационная пластмассовая;Package, display, plastic
ID;add23067-88c7-4cc0-a251-8c67953d00ce;4dc7bc1e-91a5-4998-8724-2d3a7f77755a;Упаковка демонстрационная металлическая;Package, display, metal
IE;ec874c34-8d51-4e04-bd2c-9ec9642d1e0e;6c74b50c-8eae-4ae2-9a2d-9887044673c1;Упаковка, выставочная;Package, show
IF;9b0b180a-7cbb-4d9a-ba41-fd08b0eae3ba;f0ee662c-dd76-4914-9cda-10d3cdf70b7d;Упаковка, выпрессованная;Package, flow
IG;7ca4b4f3-fcac-4c00-8d7a-b258acaa97f0;0faef5db-a34e-450c-90b5-91ca369af18b;Упаковка в оберточной бумаге;Package, paper wrapped
IH;dd7c7ba0-dbc3-435d-94f7-5b758ca36898;6985abdd-7aba-4590-a345-f024c287a71b;Барабан, пластмассовый;Drum, plastic
IK;c2645eda-085d-4ae7-bfc2-641fc380ebae;3f12daba-8209-4ee9-95cb-7e84abc85533;Упаковка картонная с отверстиями для бутылок;Package, cardboard, with bottle grip-holes
IN;c954a839-e145-40f0-8945-de8e4faad748;22b956db-fd0c-4aff-9977-4a503828eb4e;Слиток;Ingot
IZ;29f1456b-e328-4f1b-b855-41eda829a9e1;dba6e871-d890-48d0-bbed-3a37d16049e9;Слитки в пакете/пачке/связке;Ingots, in bundle/bunch/truss
JB;fedf401c-053c-11e1-99b4-d8d385fbc9e8;7f83315d-47b7-4ac6-ad7a-a613c25b3d74;Мешок большой;Bag, jumbo
JC;a17e05ea-2fd6-485f-8db6-5aed1606f851;64b123f2-50c7-4714-926d-0a9c4d769c5f;Канистра, прямоугольная;Jerrican, rectangular
JG;548062b8-8f49-4fe2-8e93-d6c5103a9113;ff8ab3eb-0d8a-4a49-8388-a06f6a38e893;Кувшин, маленький;Jug
JR;c1f40234-bff1-42c8-8e19-d6cad7f00fce;052ac9af-5849-4fff-aa31-566ca7e07c5c;Банка широкогорлая (емкостью около 4,5 литров);Jar
JT;198ddc36-88da-4659-a5a6-d9acb8416d9d;c20292a4-9045-4465-87e4-8a38f4d7e6ad;Мешок, джутовый;Jute bag
JY;a7eb10cf-5a71-4cd2-97eb-c7369a407ccf;73a0cfed-91eb-44f4-8b2a-e0273b34687d;Канистра, цилиндрическая;Jerrican, cylindrical
KG;8fe0727a-b2ed-4040-9df5-a14e4ad7f6a8;1bb17069-0744-435a-a5ea-102211dc97f0;Бочонок (емкостью около 46 л);Keg
KI;d2aeda76-b593-42c6-b6b0-dc1c8338dc54;2bac187c-df46-48c8-a7a1-7e0d1610e535;Набор;Kit
LE;ec29a5a8-17fa-480c-a1d5-333a4411e393;7541a5af-90a4-4492-8523-c4b345504b3a;Багаж;Luggage
LG;07f35ce7-6d5a-49e7-a7e2-659b6cf74def;70157b1b-c036-42d9-b173-5ad267ad9c01;Бревно;Log
LT;d2612f44-ca2a-4146-986d-6650e6fe9194;47bdaa2c-06ba-41f5-9e3e-c591bac1834c;Грузовая партия (лот);Lot
LU;7c29a864-e469-4c64-89e7-153000939d61;7726f1f8-49fc-4707-8ccd-ec8a4bc0402c;Ящик;Lug
LV;2b91c7f0-2705-40a1-a180-64e20626a2a0;b9003509-a846-4f80-9c61-1432cd7b1a63;Короб деревянный (лифтван) размером около 220 см (длина) x 115 см (ширина) x 220 см (высота);Liftvan
LZ;0e0ccdf4-8779-4d65-84e2-d9e689314630;cdccf228-a3d8-43cf-a253-7a0a2196539e;Бревно в пакете/пачке/связке;Logs, in bundle/bunch/truss
MA;d8f7a02c-5076-41a2-9258-cca3427993b4;abd09b06-43b8-4c53-9ee5-c7948de099fd;Ящик металлический;Crate, metal
