GrpName;Name;Code;ManufName;Country;Brand;UnitName;PhUnitName;PhUPerU;UnitsPerPack;Vat;ExpiryPeriod;PckgQtty;PckgBrutto;PckgLength;PckgWidth;PckgHeight
Салаты традиционные;Закуска Грин Крест по-русски;28687238;Россия;Россия;Грин Крест;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Салаты традиционные;Закуска ХС сыр/ветчина 170г;26106656;Россия;Россия;Хрустальная Снежинка;ШТ 1;Кг;0.170000;0.000;18.0;0;0.000;0;0;0;0
Салаты традиционные;Закуска ХС сыр/чеснок 170г;26106663;Россия;Россия;Хрустальная Снежинка;ШТ 1;Кг;0.170000;0.000;18.0;0;0.000;0;0;0;0
Салаты традиционные;Заливное ОТРК Ладожское из языка 300г;4602323004862;Россия;Россия;ОТРК;ШТ 1;Кг;0.300000;0.000;18.0;0;0.000;0;0;0;0
Салаты традиционные;Заливное ХС По-деревенски 200г;26097893;Россия;Россия;Хрустальная Снежинка;ШТ 1;Кг;0.200000;0.000;10.0;0;0.000;0;0;0;0
Салаты традиционные;Заливное ХС По-славянски 200г;26096933;Россия;Россия;Хрустальная Снежинка;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Изюм Амро белый 200г;6936227400016;Россия;Россия;Амро;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Изюм Амро красный 200г;6936227400122;Россия;Россия;Амро;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Изюм Ахта черный 250г;26066585;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Изюм Ахта черный 450г;26066592;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Изюм Ахта черный корз. 150г;4607015929775;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Изюм б/к Афганистан;28337898;;;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Изюм Тю-ша Султана сушеный 250г;26031538;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.250000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Изюм Форест Микс Голден 200г;4607036552365;Россия;Россия;Форест Микс;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Изюм Чемпион калифорнийский 250г;070044007457;США;США;;ШТ 1;Кг;0.250000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Изюм Чемпион калифорнийский 500г;070044007358;США;США;;ШТ 1;Кг;0.500000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Имбирь натур.суш.;28038542;Тайланд;Тайланд;;Кг;;0.000000;0.000;10.0;0;0.000;0;0;0;0
