TAB: 4
LENGTHS OF VALUE:
16..19				| 6..9		| 6..10			| 1				| 14..17			| 2..5		| 2..5		| 6..9		|
-------------------------------------------------------------------------------------------------------------------------
date time			| size of	| size of		| size of		| entry point		| section	| file		| size of	|
stamp				| code		| initialized	| uninitialized	|					| alignment	| alignment	| image		|
					|			| data			| data			|					|			|			|			|
-------------------------------------------------------------------------------------------------------------------------
ë‡ 27.05.2009 - 19:20 	| 485600	| 236A00		| 0				| 281E4D(00681E4D)	| 1000		| 200		| 6BF000	| 
è‚ 29.05.2009 - 17:23 	| 485A00	| 236A00		| 0				| 28204D(0068204D)	| 1000		| 200		| 6BF000	| 
Ç· 07.06.2009 - 19:52 	| 489200	| 237000		| 0				| 2831ED(006831ED)	| 1000		| 200		| 6C3000	| 
Ç‚ 09.06.2009 - 17:51 	| 489400	| 236E00		| 0				| 28303D(0068303D)	| 1000		| 200		| 6C3000	| 
Ç· 14.06.2009 - 20:13 	| 48A200	| 237200		| 0				| 283A8D(00683A8D)	| 1000		| 200		| 6C4000	| 
Ç‚ 16.06.2009 - 18:44 	| 48A400	| 237200		| 0				| 283BFD(00683BFD)	| 1000		| 200		| 6C4000	| 
ë° 27.06.2009 - 19:07 	| 48C600	| 237600		| 0				| 283DBD(00683DBD)	| 1000		| 200		| 6C6000	| 
ë‡ 01.07.2009 - 20:10 	| 48C600	| 237600		| 0				| 283F0D(00683F0D)	| 1000		| 200		| 6C6000	| 
ó‚ 09.07.2009 - 19:21 	| 48CA00	| 237600		| 0				| 2840FD(006840FD)	| 1000		| 200		| 6C6000	| 
ë‡ 15.07.2009 - 14:15 	| 4A1C00	| 239C00		| 0				| 48D306(0088D306)	| 1000		| 200		| 6DD000	| 
ë° 18.07.2009 - 17:36 	| 4A1800	| 239C00		| 0				| 48CE46(0088CE46)	| 1000		| 200		| 6DD000	| 
Ç· 19.07.2009 - 11:52 	| 4A1800	| 239C00		| 0				| 48CE06(0088CE06)	| 1000		| 200		| 6DD000	| 
Ç‚ 28.07.2009 - 17:26 	| 4A3C00	| 239E00		| 0				| 48F156(0088F156)	| 1000		| 200		| 6E0000	| 
Ç· 02.08.2009 - 18:22 	| 4A5200	| 23A400		| 0				| 490796(00890796)	| 1000		| 200		| 6E2000	| 
ë‡ 05.08.2009 - 19:44 	| 4A5C00	| 23A600		| 0				| 491236(00891236)	| 1000		| 200		| 6E2000	| 
ó‚ 06.08.2009 - 19:34 	| 4A5E00	| 23A600		| 0				| 491366(00891366)	| 1000		| 200		| 6E2000	| 
Ç· 09.08.2009 - 14:46 	| 4A5E00	| 23A600		| 0				| 491416(00891416)	| 1000		| 200		| 6E2000	| 
è≠ 10.08.2009 - 19:25 	| 4A6000	| 23A800		| 0				| 491616(00891616)	| 1000		| 200		| 6E2000	| 
ë‡ 19.08.2009 - 19:26 	| 4A9000	| 23A600		| 0				| 494536(00894536)	| 1000		| 200		| 6E5000	| 
Ç· 23.08.2009 - 20:34 	| 4A9200	| 23A800		| 0				| 494AD6(00894AD6)	| 1000		| 200		| 6E6000	| 
è≠ 24.08.2009 - 19:49 	| 4A9200	| 23A800		| 0				| 494A26(00894A26)	| 1000		| 200		| 6E6000	| 
ë‡ 26.08.2009 - 16:14 	| 4AA000	| 23A600		| 0				| 495896(00895896)	| 1000		| 200		| 6E6000	| 
ë‡ 02.09.2009 - 19:01 	| 4AD600	| 23C000		| 0				| 498F66(00898F66)	| 1000		| 200		| 6EC000	| 
ó‚ 03.09.2009 - 19:55 	| 4AD600	| 23C000		| 0				| 498F46(00898F46)	| 1000		| 200		| 6EC000	| 
Ç· 06.09.2009 - 19:05 	| 4AD800	| 23C000		| 0				| 4990A6(008990A6)	| 1000		| 200		| 6EC000	| 
Ç· 06.09.2009 - 19:45 	| 4AD800	| 23C000		| 0				| 4990A6(008990A6)	| 1000		| 200		| 6EC000	| 
ë‡ 09.09.2009 - 11:44 	| 4AE000	| 23C000		| 0				| 499926(00899926)	| 1000		| 200		| 6EC000	| 
ó‚ 10.09.2009 - 20:11 	| 4AE400	| 23C000		| 0				| 499C26(00899C26)	| 1000		| 200		| 6ED000	| 
Ç· 13.09.2009 - 19:00 	| 4AF400	| 23C200		| 0				| 49AC16(0089AC16)	| 1000		| 200		| 6EE000	| 
Ç‚ 15.09.2009 - 19:29 	| 4AFA00	| 23C400		| 0				| 49B316(0089B316)	| 1000		| 200		| 6EE000	| 
Ç· 20.09.2009 - 18:54 	| 4B1200	| 23CA00		| 0				| 49CA06(0089CA06)	| 1000		| 200		| 6F1000	| 
Ç‚ 22.09.2009 - 20:08 	| 4B1400	| 23CC00		| 0				| 49CD96(0089CD96)	| 1000		| 200		| 6F1000	| 
ë‡ 23.09.2009 - 16:46 	| 4B1400	| 23CC00		| 0				| 49CD66(0089CD66)	| 1000		| 200		| 6F1000	| 
ë‡ 23.09.2009 - 19:22 	| 4B1400	| 23CC00		| 0				| 49CD86(0089CD86)	| 1000		| 200		| 6F1000	| 
Ç· 27.09.2009 - 17:28 	| 4B1E00	| 23CE00		| 0				| 49D736(0089D736)	| 1000		| 200		| 6F1000	| 
ó‚ 01.10.2009 - 18:32 	| 4B3800	| 23D200		| 0				| 49EFE6(0089EFE6)	| 1000		| 200		| 6F3000	| 
Ç· 04.10.2009 - 15:50 	| 4B3C00	| 23D200		| 0				| 49F5A6(0089F5A6)	| 1000		| 200		| 6F3000	| 
Ç‚ 06.10.2009 - 19:28 	| 4B4200	| 23D000		| 0				| 49FA06(0089FA06)	| 1000		| 200		| 6F4000	| 
